ID,ID_corrected,操作判断,操作前准备1,操作前准备2,操作前准备3,操作过程1,操作过程2,操作过程3.1,操作过程3.2,操作过程4,操作过程5.1,操作过程5.2,操作过程6,操作后处理,overall
1018-ypp2-9,1018-ypp-09,5,4,5,5,3,5,5,5,5,10,15,15,7,7
1015-bjx-02,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1014-zyj-01,,5,5,5,5,5,5,5,5,5,10,15,12,10,9
1016-jzt2-10,1016-jzt2-10,5,5,5,5,5,5,5,5,5,8,15,12,8,7
1016-jzt3-9,1016-jzt3-09,5,5,5,5,5,5,5,5,5,6,15,13,8,8
1016-jzt3-8,1016-jzt3-08,5,5,5,5,5,5,5,5,5,8,15,13,8,8
1016-zwl2-1,1016-zwl-01,5,5,5,5,1,5,5,5,5,10,15,12,6,3
1015-dsc-02,,5,5,5,5,4,5,3,5,5,10,14,13,5,8
1015-bjx-07,,5,5,5,5,5,5,5,5,5,7,15,15,10,9
311-lyl-10,0311-lyl-10-sj,5,5,5,5,5,5,4,5,5,10,15,15,7,5
1016-tfy2-6,1016-tfy-06,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1015-zmt-10,1015-zmt-10,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1019-yzl-08,,5,4,5,5,5,4,4,5,5,10,15,13,10,9
0310-syq-03,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1015-sfk-03,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1017-sly2-3,1017-sly-03,5,5,5,5,5,5,5,5,5,9,15,10,8,8
1018-ypp2-3,1018-ypp-03,5,4,5,5,3,5,5,5,5,10,15,15,7,7
1019-zyt-05,,5,4,0,4,5,4,5,5,5,10,15,15,8,9
1017-ywp-10,1017-ywp-10,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1018-wll-10,1018-wll-10,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1015-sfk-02,,5,5,5,5,5,5,5,5,5,7,15,15,10,10
1019-hwq-11,1019-hwq-11,5,5,5,5,5,5,5,5,5,5,15,15,10,9
0310-dt-06,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1014-dt1-01,1014-dt1-01,5,3,3,3,5,5,4,5,5,8,15,15,7,8
0312-sxy-10,,4,3,5,5,5,3,5,5,4,10,15,15,9,9
1018-yzl2-10,1018-yzl-10,5,4,3,5,4,5,5,5,0,10,15,13,7,6
1019-hwq-15,1019-hwq-15,5,5,5,5,5,5,5,5,0,5,15,15,10,9
1016-zwl2-6,1016-zwl-06,5,5,5,5,2,5,5,5,5,10,15,10,6,5
1016-hwq-8,1016-hwq-08,5,5,5,5,5,5,5,5,5,10,15,12,8,8
1015-zmt-5,1015-zmt-05,5,5,5,5,5,5,5,5,5,10,15,12,10,9
311-jzt-08,0311-jzt-08-sj,5,5,5,5,5,5,5,5,5,10,13,14,8,9
1016-hzm-2,1016-hmz-02,5,5,5,5,2,5,0,5,1,10,15,15,7,8
0312-sxy-1,0312-sxy-01,3,3,5,5,5,3,5,5,0,10,15,15,8,8
1017-sly-09,1017-sly-09,5,5,5,5,5,5,5,5,5,10,15,12,7,8
1019-yzl-09,,5,4,5,5,5,4,4,5,5,10,15,14,10,8
1017-ywp-7,1017-ywp-07,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1014-zwl-08,1014-zwl-08,5,5,5,5,3,5,5,5,5,10,15,15,9,9
1018-yzl2-7,1018-yzl-07,5,4,3,5,4,5,5,5,5,10,15,15,7,7
1017-hmz3-4,1017-hmz-04,5,5,3,3,1,5,5,5,5,8,15,11,6,5
1016-jzt2-8,1016-jzt2-08,5,5,5,5,5,5,5,5,5,8,15,14,8,7
1019-msp-07,1019-msp-07,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1018-ypp2-2,1018-ypp-02,5,4,5,5,3,5,5,5,5,10,15,13,7,6
1015-yxq-9,1015-yxq-09,5,5,5,5,2,5,2,5,1,7,15,15,8,6
1016-hwq-7,1016-hwq-07,5,5,5,5,5,5,2,5,5,10,15,11,8,8
1018-hzy-01,,5,4,4,5,5,5,5,5,0,10,15,15,10,9
1015-rxy-09,,5,5,5,5,5,5,5,5,5,8,15,12,10,8
1019-rgt-07,1019-rjt-07,5,4,5,5,4,4,5,5,0,10,15,15,10,10
0312-jzb-5,0312-jzb-05,5,3,5,5,5,3,5,5,4,10,15,8,7,6
1017-hmz3-8,1017-hmz-08,5,5,3,3,1,5,5,5,5,10,15,11,6,6
1014-dt1-02,1014-dt1-02,5,5,5,5,5,5,4,5,5,7,15,15,7,8
1017-hmz3-9,1017-hmz-09,5,5,3,3,1,5,5,5,5,10,15,11,6,6
1017-hmz3-10,1017-hmz-10,5,5,3,3,1,5,5,5,5,10,15,11,6,6
311-bjx-02,0311-bjx-02-sj,5,5,5,5,5,5,3,5,5,10,15,13,8,8
1017-ljt-7,1017-ljt-07,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1015-bjx-01,,5,5,5,5,5,5,5,5,5,10,15,14,10,10
1015-ypp-03,,5,5,5,5,5,5,3,5,5,10,15,15,10,10
0312-sxy-9,0312-sxy-09,5,3,5,5,5,3,3,5,0,10,15,15,8,8
1017-zmt2-3,1017-zmt-03,5,5,5,5,5,5,5,5,5,8,15,13,8,8
1018-sly-04,1018-sly-04,5,5,4,5,5,5,5,5,5,10,15,15,10,7
1014-dt2-04,1014-dt2-04,5,5,5,5,5,5,5,5,5,8,15,15,5,8
0310-syq-04,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1017-jzt4-3,1017-jzt-03,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1017-jzt5-3,1017-jzt-13,5,5,5,5,5,5,2,5,5,10,15,11,8,8
0312-jzb-6,0312-jzb-06,5,3,5,5,5,3,3,5,4,10,15,8,8,6
1015-sfk-09,,5,5,5,5,5,5,5,5,5,10,13,15,10,10
0310-lzz-02,,5,5,5,5,5,5,5,5,0,10,15,15,10,9
1017-jzt4-2,1017-jzt-02,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1015-xxd-06,,5,5,5,5,5,5,3,5,0,10,15,15,5,8
1016-zwl2-2,1016-zwl-02,5,5,5,5,1,5,5,5,5,10,15,12,7,5
0310-syq-06,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1016-tfy2-8,1016-tfy-08,5,5,5,5,5,5,5,5,5,10,15,15,10,10
0310-lxw-10,,5,5,5,5,5,5,5,5,5,5,15,13,10,8
1015-zch-04,,5,5,5,5,5,5,5,5,5,7,15,15,10,9
1016-hzm-4,1016-hmz-04,5,5,5,5,2,5,0,5,1,10,15,15,8,8
1014-dt1-06,1014-dt1-06,5,5,5,5,5,5,5,5,5,10,15,15,8,9
311-bjx-10,0311-bjx-10-sj,5,5,5,5,5,5,3,5,5,10,15,14,8,8
1014-sly-08,1014-sly-08,5,5,5,5,5,5,5,5,3,10,15,15,9,9
1014-wll-06,1014-wll-06,5,5,5,4,5,5,5,5,5,10,15,15,8,9
0310-syq-02,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1016-hzm-6,1016-hmz-06,5,5,5,5,2,5,0,5,1,10,15,15,7,8
1015-yxq-1,1015-yxq-01,5,5,3,4,2,5,1,5,1,1,15,15,7,5
0312-xxd-2,0312-xxd-02,5,3,5,5,5,4,3,5,0,10,15,15,8,8
1017-ywp-2,1017-ywp-02,5,5,5,5,5,5,3,5,5,10,15,15,10,9
0310-lym-05,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1019-msp-08,1019-msp-08,5,5,5,5,5,5,5,5,0,10,15,15,10,10
1017-yzl-9,1017-yzl-09,5,5,5,5,5,5,2,5,0,5,15,13,8,7
1014-sly-07,1014-sly-07,5,5,5,5,5,5,5,5,3,10,15,15,9,9
1016-jyy-6,1016-jyy-06,5,5,5,5,5,5,5,5,5,10,15,12,10,9
1019-rgt-09,1019-rjt-09,5,4,5,5,5,4,5,5,0,10,15,15,10,9
0310-lxw-04,,5,5,5,5,5,5,5,5,5,10,15,10,10,8
1017-yzl-5,1017-yzl-05,5,5,5,5,5,5,2,5,0,5,15,11,7,6
1019-xxd-07,1019-xxd-07,5,5,5,5,5,5,5,5,5,10,15,10,10,9
1014-zyj-05,,5,5,5,5,5,5,5,5,5,10,15,12,9,9
311-sly-05,0311-sly-05-sj,5,5,5,5,5,5,5,5,5,9,14,15,8,8
0310-lym-07,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
311-yzl-07,0311-yzl-07-sj,5,5,5,5,5,5,5,5,0,8,13,13,7,7
0310-dt-07,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1017-sly-06,1017-sly-06,5,5,5,5,5,5,5,5,5,10,15,13,7,8
1019-hwq-20,1019-hwq-20,5,5,5,5,5,5,5,5,0,7,15,15,10,9
1016-jzt-6,1016-jzt-06,5,5,3,3,5,5,5,5,5,10,15,12,8,6
1017-ljt-9,1017-ljt-09,5,5,5,5,5,5,5,5,5,10,15,10,8,8
1015-ypp-02,,5,5,5,5,5,5,3,5,5,10,15,15,10,10
0312-xxd-10,,5,3,5,5,5,3,3,5,0,10,15,15,8,8
311-bjx-03,0311-bjx-03-sj,5,5,5,5,5,5,3,5,5,10,15,14,9,9
1014-dt3-10,1014-dt3-10,5,5,5,5,5,5,5,5,5,10,15,15,8,9
0312-zmt-2,0312-zmt-02,5,3,5,5,5,3,3,5,4,10,15,15,9,9
0310-cwk-08,,5,5,5,5,5,5,5,5,5,8,15,15,10,9
1017-msp2-7,1017-msp-07,5,5,5,5,1,5,1,5,5,8,15,12,7,3
1014-dt3-01,1014-dt3-01,5,5,5,5,5,5,5,5,5,10,15,15,7,9
0310-syq-09,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
311-wsx-04,0311-wsx-04-sj,5,5,5,5,5,5,5,5,0,5,13,14,8,7
1017-hmz3-7,1017-hmz-07,5,5,3,3,1,5,5,5,5,10,15,11,6,6
1015-sfk-04,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1017-jzt5-7,1017-jzt-17,5,5,5,5,5,5,2,5,5,10,13,11,7,8
0310-lym-06,,5,5,5,5,5,5,5,5,5,10,15,13,10,9
1014-zyj-10,1014-zyj-10,5,5,5,5,5,5,5,5,4,10,15,15,9,9
1014-wll-05,,5,5,5,4,5,5,5,5,5,10,13,12,7,8
0310-lym-03,,5,5,5,5,5,5,5,5,5,9,15,13,10,9
0312-sxy-4,0312-sxy-04,5,3,5,5,5,3,3,5,0,10,15,15,8,8
1015-sfk-10,,5,5,5,5,5,5,5,5,5,10,15,15,10,10
1019-lsp3-03,1019-msp-03,5,5,5,5,5,5,5,5,3,10,12,15,10,10
311-yzl-08,0311-yzl-08-sj,5,5,5,5,5,5,5,5,0,8,13,13,7,7
0312-jzb-10,,4,5,5,5,5,3,5,5,4,10,15,8,8,6
1017-wtb-8,1017-wtb-08,5,3,5,5,4,5,3,5,5,10,15,12,5,6
0312-gyq-10,0312-gyx-10,5,3,5,5,5,3,3,5,0,10,15,15,8,8
1014-zyj-03,,5,5,5,5,5,5,5,5,5,10,15,12,9,9
1014-zyj-02,,5,5,5,5,5,5,5,5,5,10,15,12,9,9
1018-sfk2-07,1018-sfk-07,5,5,5,5,5,5,5,5,0,10,12,15,10,10
1017-msp2-5,1017-msp-05,5,5,5,5,3,5,5,5,5,10,15,12,7,8
1015-zmt-9,1015-zmt-09,5,5,5,5,5,5,5,5,5,10,15,15,10,9
1015-dsc-07,,5,5,5,5,4,5,3,5,5,5,10,12,10,7
0312-gyq-02,0312-gyx-02,5,3,5,5,5,3,3,5,0,10,15,15,8,8
1017-zmt2-6,1017-zmt-06,5,5,5,5,5,5,5,5,5,8,15,13,8,8
0312-lxh-7,0312-lxh-07,4,3,5,5,5,3,5,5,4,7,15,15,8,8
1015-zmt-2,1015-zmt-02,5,5,5,5,5,5,5,5,5,7,15,12,10,9
1017-jzt5-8,1017-jzt-18,5,5,5,5,5,5,2,5,5,10,14,11,7,8
1016-jzt-1,1016-jzt-01,5,5,3,3,4,5,3,5,5,8,15,10,5,5
0310-cwk-06,,5,5,5,5,5,5,5,5,5,8,15,15,10,9
1015-dsc-04,,5,5,5,5,4,5,3,5,5,10,15,13,10,9
0312-zwl-3,0312-zwl-03,5,3,5,5,5,3,5,5,0,6,15,15,8,7
1018-wll2-01,1018-wll-01,5,5,4,5,5,5,5,5,3,10,15,15,10,10
1016-dsc-3,1016-dsc-03,5,5,5,5,1,5,5,5,5,0,15,12,7,4
